timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
348778106,1574736270600090,372463356,1266671671,12055,30041,0.321,0.04464709,0.78700006,1.151,0.69,1.27,79,6,4.597,4.59,0.24800001,0.47800002,0.030368378,0,3,1,15
348974551,1574736270800090,372463443,1266671675,11936,29923,0.38500002,0.045401946,0.791,1.1550001,0.69,1.27,79,6,5.0270004,5.026,0.12900001,0.56,0.027898911,0,3,1,15
349165744,1574736271000090,372463536,1266671675,11727,29714,0.289,0.03565027,0.795,1.1550001,0.69,1.27,74,6,5.1480002,5.1470003,-0.10700001,0.72,6.2795506,0,3,1,15
349378145,1574736271200090,372463626,1266671675,11595,29582,0.53400004,0.08240746,0.80200005,1.1650001,0.71999997,1.27,74,6,4.952,4.9500003,0.142,0.69000006,0.0023539255,0,3,1,14
349566571,1574736271400090,372463715,1266671676,11486,29472,0.605,0.10567741,0.82100004,1.179,0.71999997,1.27,74,6,4.9100003,4.9090004,-0.05,0.569,6.280666,0,3,1,14
349761578,1574736271600090,372463802,1266671677,11399,29385,0.573,0.094988145,0.84300005,1.1930001,0.74,1.3,74,6,4.839,4.839,0.066,0.42200002,0.006511823,0,3,1,13
349966605,1574736271800090,372463889,1266671676,11345,29331,0.59900004,0.075668044,0.86300004,1.2080001,0.74,1.3,74,6,4.7780004,4.7770004,-0.094000004,0.21700001,6.2735286,0,3,1,13
350171140,1574736272000090,372463976,1266671678,11289,29275,0.6,0.0920614,0.882,1.223,0.74,1.3,69,4,4.9100003,4.905,0.22200002,0.38300002,0.01310463,0,3,1,13
350354938,1574736272200090,372464061,1266671681,11264,29251,0.48600003,0.07058757,0.89900005,1.2320001,0.71,1.3,69,4,4.717,4.717,0.042000003,0.23700002,0.0103871515,0,3,1,14
350570952,1574736272400090,372464148,1266671682,11159,29145,0.53400004,0.07622254,0.9110001,1.243,0.71,1.3,69,4,4.893,4.892,0.08800001,0.432,0.014038206,0,3,1,14
350772700,1574736272600090,372464234,1266671685,11144,29130,0.46100003,0.05632299,0.92200005,1.2520001,0.69,1.27,69,4,4.7440004,4.741,0.157,0.223,0.026596896,0,3,1,15
350969233,1574736272800090,372464318,1266671689,11110,29096,0.563,0.10716583,0.93500006,1.269,0.69,1.27,69,4,4.7180004,4.7130003,0.19800001,0.41000003,0.030159986,0,3,1,15
351186520,1574736273000090,372464405,1266671695,11056,29042,0.55600005,0.08648769,0.952,1.2850001,0.69,1.27,64,2,4.9420004,4.932,0.307,0.23500001,0.049741182,0,3,1,15
351367574,1574736273200090,372464492,1266671701,11046,29033,0.54700005,0.08703328,0.96800005,1.299,0.69,1.27,64,2,4.7590003,4.7530003,0.22900002,0.12200001,0.048980918,0,3,1,15
351563612,1574736273400090,372464578,1266671706,10990,28977,0.628,0.111213945,0.98700005,1.322,0.69,1.27,64,2,4.8510003,4.8440003,0.261,0.386,0.050848246,0,3,1,15
351766575,1574736273600090,372464666,1266671713,10981,28968,0.45700002,0.08325761,1.0040001,1.3330001,0.69,1.27,64,2,4.965,4.9570003,0.291,0.13000001,0.055829067,0,3,1,15
351983602,1574736273800090,372464755,1266671720,10943,28929,0.483,0.056620747,1.013,1.3440001,0.69,1.27,64,2,5.0080004,4.997,0.31800002,0.16700001,0.061175358,0,3,1,15
352194575,1574736274000090,372464844,1266671726,10901,28887,0.54300004,0.07624017,1.0220001,1.3590001,0.69,1.27,64,4,4.9150004,4.9080005,0.27400002,0.101,0.05913891,0,3,1,15
