timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
366099352,21.370737,21.269863,32.38044,30.997465,0.0,244.01569,0.7299864,1.140788,0.0,6,0,0,0,0,0,1,1,0,0,0
367107707,21.496733,21.216536,28.173162,31.442255,0.0,253.06058,0.7232841,1.142967,0.0,6,0,0,0,0,0,1,1,0,0,0
367611709,21.477348,21.317844,27.768019,29.33702,0.0,256.95627,0.72020376,1.1387652,0.0,6,0,0,0,0,0,1,1,0,0,0
368115715,21.244741,21.352528,29.996317,28.84744,0.0,260.92838,0.7172495,1.13748,0.0,6,0,0,0,0,0,1,1,0,0,0
368619918,21.099363,21.296066,32.037624,30.202066,0.0,265.28772,0.71421623,1.1399484,0.0,6,0,0,0,0,0,1,1,0,0,0
369123732,21.215666,21.233585,30.82219,31.165972,0.0,269.77554,0.71104336,1.1426598,0.0,6,0,0,0,0,0,1,1,0,0,0
369627799,21.08967,21.209915,33.20631,31.48245,0.0,274.1963,0.70785546,1.1436664,0.0,6,0,0,0,0,0,1,1,0,0,0
370131732,21.031519,21.154306,32.925827,32.408924,0.0,278.8407,0.7045653,1.1459931,0.0,6,0,0,0,0,0,1,1,0,0,0
370636541,21.23505,21.146431,30.120975,31.96895,0.0,283.3013,0.7012709,1.1463665,0.0,6,0,0,0,0,0,1,1,0,0,0
371140948,20.857063,21.11224,34.219173,32.49328,0.0,287.86536,0.69797534,1.1478493,0.0,6,0,0,0,0,0,1,1,0,0,0
371644733,21.002443,21.071487,33.549126,33.157425,0.0,292.5828,0.6945878,1.149505,0.0,6,0,0,0,0,0,1,1,0,0,0
372148511,20.905523,21.050217,34.76456,33.403347,0.0,297.26648,0.6911963,1.1503549,0.0,6,0,0,0,0,0,1,1,0,0,0
372652553,21.070288,21.021706,32.053207,33.465046,0.0,301.985,0.68774754,1.1517336,0.0,6,0,0,0,0,0,1,1,0,0,0
373156504,21.215666,21.108265,28.999035,31.268398,0.0,306.1634,0.68448323,1.1481382,0.0,6,0,0,0,0,0,1,1,0,0,0
373660662,21.351353,21.144814,29.731413,30.953485,0.0,310.45572,0.6813423,1.1466514,0.0,6,0,0,0,0,0,1,1,0,0,0
374164540,21.341661,21.17976,28.718552,30.485655,0.0,314.676,0.678301,1.1451789,0.0,6,0,0,0,0,0,1,1,0,0,0
374656547,21.157515,21.233635,29.731413,29.573153,0.0,318.60065,0.67547977,1.1429669,0.0,6,0,0,0,0,0,1,1,0,0,0
375161497,21.021828,21.23565,32.224613,29.62556,0.0,322.74814,0.67262167,1.1430056,0.0,6,0,0,0,0,0,1,1,0,0,0
375665343,20.915216,21.120958,33.1284,32.169426,0.0,327.52005,0.66954476,1.1479439,0.0,6,0,0,0,0,0,1,1,0,0,0
376169391,20.401543,21.03545,33.68937,33.19734,0.0,332.2585,0.6663385,1.151697,0.0,6,0,0,0,0,0,1,1,0,0,0
376673529,20.74076,20.987246,34.156845,33.531246,0.0,336.97534,0.6630408,1.1538054,0.0,6,0,0,0,0,0,1,1,0,0,0
377177430,20.905523,20.962446,33.408882,33.400536,0.0,341.65106,0.65969133,1.1549051,0.0,6,0,0,0,0,0,1,1,0,0,0
377669313,20.83768,20.92021,35.652763,34.226143,0.0,346.38907,0.65637,1.1566623,0.0,6,0,0,0,0,0,1,1,0,0,0
378173460,20.818296,20.878046,34.655483,34.720554,0.0,351.31107,0.65289336,1.158446,0.0,6,0,0,0,0,0,1,1,0,0,0
