timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
436638222,0.16451728,0.29355046,0.4736729
436662113,0.15657535,0.29469585,0.4772901
436686106,0.16451728,0.29240507,0.482113
436709606,0.15525171,0.29355046,0.49175888
436733561,0.15922268,0.29240507,0.48693594
436757916,0.16848825,0.2878235,0.47246715
436781619,0.16848825,0.29355046,0.47246715
436805400,0.1671646,0.29240507,0.4748786
436829436,0.1698119,0.29240507,0.4772901
436853608,0.16451728,0.29011428,0.4845245
436878538,0.16186999,0.29355046,0.4893474
436901487,0.1526044,0.2843873,0.49175888
436925528,0.14995709,0.2889689,0.4845245
436949953,0.1473098,0.2832419,0.4893474
436974038,0.1526044,0.2866781,0.4881417
436997384,0.15525171,0.2832419,0.4845245
437021456,0.1526044,0.2866781,0.482113
437045525,0.16451728,0.29240507,0.48693594
437069396,0.1473098,0.2866781,0.49537602
437094187,0.1526044,0.29240507,0.47970155
437118005,0.14863344,0.2832419,0.47970155
437141749,0.1473098,0.2820965,0.49537602
437165455,0.14995709,0.27980572,0.49055314
437186514,0.1526044,0.2740787,0.48331875
437213927,0.15922268,0.2889689,0.4881417
437237480,0.15922268,0.2809511,0.47608435
437261601,0.16186999,0.27980572,0.4881417
437285336,0.15128075,0.29011428,0.4881417
437309394,0.14598614,0.2763695,0.50140476
437334166,0.14333883,0.29125968,0.48693594
437357719,0.14333883,0.2820965,0.5050219
437381466,0.14069153,0.2820965,0.48573023
437405546,0.14863344,0.2786603,0.4929646
437430360,0.14995709,0.2729333,0.48331875
437453326,0.15525171,0.2786603,0.4881417
437477961,0.1473098,0.2843873,0.4881417
437501467,0.14995709,0.27980572,0.49537602
437525329,0.14466248,0.27522412,0.4977875
437549379,0.1473098,0.2809511,0.5050219
437574030,0.14201517,0.2866781,0.48573023
437597471,0.14069153,0.2866781,0.4881417
437621439,0.15657535,0.2843873,0.48331875
437646078,0.15392806,0.2889689,0.47608435
437670015,0.16319364,0.2866781,0.482113
437694324,0.1526044,0.2809511,0.4893474
437717976,0.1473098,0.2866781,0.49055314
437741549,0.14598614,0.29011428,0.49899322
437765448,0.13672055,0.27980572,0.4929646
437790197,0.14333883,0.2809511,0.4845245
437814357,0.14466248,0.28553268,0.4929646
437838244,0.15525171,0.28553268,0.4845245
437861564,0.15789902,0.2763695,0.48090726
437885515,0.15525171,0.27980572,0.482113
437909497,0.15392806,0.2878235,0.4736729
437934547,0.1473098,0.28553268,0.482113
437958095,0.14598614,0.29011428,0.4845245
437981779,0.14333883,0.2878235,0.50261045
438005407,0.14863344,0.2878235,0.49055314
438029395,0.1473098,0.29125968,0.482113
438053730,0.16054633,0.28553268,0.48573023
438078025,0.1526044,0.2843873,0.4845245
438101492,0.14598614,0.2889689,0.48693594
438125440,0.14863344,0.2820965,0.48693594
438150017,0.14466248,0.29011428,0.49417034
438173386,0.14466248,0.27980572,0.49537602
438197713,0.1473098,0.2832419,0.4893474
438221419,0.13804421,0.2717879,0.5050219
438245734,0.1473098,0.27064252,0.48693594
438269485,0.15789902,0.27980572,0.49055314
438293941,0.1526044,0.2717879,0.48573023
438317500,0.16186999,0.27522412,0.48573023
438341558,0.15789902,0.27064252,0.49417034
438365560,0.13804421,0.2729333,0.4977875
438389542,0.14863344,0.27522412,0.5050219
438413960,0.1473098,0.2763695,0.49537602
438437762,0.1473098,0.2763695,0.4929646
438461743,0.15789902,0.2717879,0.4845245
438485375,0.14466248,0.26720634,0.4977875
438509432,0.16848825,0.2809511,0.4929646
438533881,0.1473098,0.2729333,0.4845245
438557953,0.15922268,0.2809511,0.48693594
438581460,0.14201517,0.2740787,0.50261045
438605366,0.14995709,0.2786603,0.50140476
438630296,0.14201517,0.2717879,0.49417034
438653413,0.13804421,0.27064252,0.49537602
438678189,0.15922268,0.2775149,0.48090726
438701413,0.14995709,0.2763695,0.49658176
438725332,0.15789902,0.2763695,0.4881417
438749931,0.15392806,0.27064252,0.4881417
438774929,0.14863344,0.27980572,0.4977875
438797452,0.14863344,0.2763695,0.49899322
438821439,0.14863344,0.2740787,0.50140476
438845945,0.15392806,0.27522412,0.49175888
438869799,0.14995709,0.27980572,0.48693594
438894048,0.17113556,0.2786603,0.49417034
438917324,0.15525171,0.27522412,0.48693594
438941525,0.15657535,0.2832419,0.48693594
