timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
428263924,-0.019006375,0.08879971,-1.010765,0.0,0.8742918,0.013180941,0.043431178,-0.4832741,0.38686556,1.0,1,0,0,0,0,0,0
428367600,-0.03231953,0.093977004,-1.010765,0.0,0.87427694,0.008614373,0.048908595,-0.48288044,0.38444927,1.0,1,0,0,0,0,0,0
428472361,-0.026796231,0.09442082,-1.010765,0.0,0.8742421,0.011136212,0.047768727,-0.4830061,0.3813799,1.0,1,0,0,0,0,0,0
428576494,-0.030100465,0.09121536,-1.010765,0.0,0.8743127,0.008915842,0.047166485,-0.48298362,0.39274922,1.0,1,0,0,0,0,0,0
428675339,-0.026103834,0.080276206,-1.010765,0.0,0.87446374,0.008014909,0.041421708,-0.48325273,0.4014764,1.0,1,0,0,0,0,0,0
428779058,-0.030794373,0.081404425,-1.010765,0.0,0.87446433,0.0062371944,0.04304791,-0.4831356,0.40593454,1.0,1,0,0,0,0,0,0
428879409,-0.022472955,0.08415504,-1.010765,0.0,0.8743886,0.010541313,0.04223932,-0.48326948,0.41663158,1.0,1,0,0,0,0,0,0
428983688,-0.028039608,0.08060676,-1.010765,0.0,0.8744664,0.0072485497,0.042033855,-0.4832072,0.42473742,1.0,1,0,0,0,0,0,0
429087390,-0.040738747,0.08437301,-1.010765,0.0,0.8744454,0.002608077,0.046746355,-0.48285946,0.42518958,1.0,1,0,0,0,0,0,0
429291971,-0.03944485,0.07875222,-1.010765,0.0,0.87451696,0.0018125848,0.043978516,-0.4829935,0.43418705,1.0,1,0,0,0,0,0,0
429392417,-0.030358804,0.07252797,-1.010765,0.0,0.8745798,0.0042784815,0.039063867,-0.48328653,0.4350569,1.0,1,0,0,0,0,0,0
429491656,-0.032658804,0.0698899,-1.010765,0.0,0.8746148,0.0026339297,0.038466733,-0.48328286,0.43594858,1.0,1,0,0,0,0,0,0
429592687,-0.04059573,0.07302853,-1.010765,0.0,0.8745847,-7.6832795e-05,0.04175574,-0.48307145,0.43057266,1.0,1,0,0,0,0,0,0
429695832,-0.03364003,0.06862813,-1.010765,0.0,0.8746299,0.0018992985,0.038152404,-0.48328385,0.4276518,1.0,1,0,0,0,0,0,0
429795695,-0.0447491,0.071589835,-1.010765,0.0,0.8745976,-0.00224153,0.04213027,-0.48301035,0.42594782,1.0,1,0,0,0,0,0,0
429899091,-0.03604997,0.064825274,-1.010765,0.0,0.8746705,-7.550494e-05,0.03707274,-0.48329815,0.42995682,1.0,1,0,0,0,0,0,0
429999759,-0.043388586,0.06801784,-1.010765,0.0,0.87463474,-0.0025117078,0.040240932,-0.48310292,0.42745116,1.0,1,0,0,0,0,0,0
430103361,-0.041185062,0.060082,-1.010765,0.0,0.8747086,-0.003469999,0.036240533,-0.48327997,0.42754555,1.0,1,0,0,0,0,0,0
430204197,-0.04984983,0.06316115,-1.010765,0.0,0.87466234,-0.0065137045,0.039679434,-0.48306188,0.4215522,1.0,1,0,0,0,0,0,0
430304905,-0.042053577,0.06079074,-1.010765,0.0,0.8747012,-0.003678201,0.03676015,-0.48325244,0.4165158,1.0,1,0,0,0,0,0,0
430408507,-0.044709925,0.063393645,-1.010765,0.0,0.8746743,-0.0042095347,0.038539447,-0.48315817,0.40809727,1.0,1,0,0,0,0,0,0
430512979,-0.050382297,0.069137394,-1.010765,0.0,0.87461066,-0.005298969,0.04241914,-0.48293763,0.39641792,1.0,1,0,0,0,0,0,0
430616932,-0.047435444,0.06894779,-1.010765,0.0,0.8746193,-0.004056213,0.041624684,-0.48300314,0.39434308,1.0,1,0,0,0,0,0,0
430716143,-0.05332162,0.07232181,-1.010765,0.0,0.8745732,-0.005812929,0.044519924,-0.48281038,0.387556,1.0,1,0,0,0,0,0,0
430819849,-0.051861636,0.069070145,-1.010765,0.0,0.8746071,-0.00596218,0.042746965,-0.4829075,0.39303592,1.0,1,0,0,0,0,0,0
430920324,-0.04572605,0.066953,-1.010765,0.0,0.874641,-0.0037918324,0.040340245,-0.48307496,0.3966796,1.0,1,0,0,0,0,0,0
431019810,-0.04246899,0.060835082,-1.010765,0.0,0.87470007,-0.003849144,0.036879912,-0.48324406,0.4070189,1.0,1,0,0,0,0,0,0
431123835,-0.041055202,0.06145146,-1.010765,0.0,0.87469745,-0.0030815464,0.03680768,-0.48325995,0.40975493,1.0,1,0,0,0,0,0,0
431225276,-0.04415654,0.06438249,-1.010765,0.0,0.8746669,-0.0037280237,0.038837884,-0.48315164,0.41302043,1.0,1,0,0,0,0,0,0
431328768,-0.039393988,0.0574151,-1.010765,0.0,0.8747329,-0.0033325157,0.034642078,-0.4833541,0.42494354,1.0,1,0,0,0,0,0,0
431433143,-0.04773167,0.06024697,-1.010765,0.0,0.8746913,-0.006293205,0.037894357,-0.4831558,0.42346203,1.0,1,0,0,0,0,0,0
431532357,-0.052003108,0.057551652,-1.010765,0.0,0.87469363,-0.008814143,0.037748374,-0.48312357,0.42374742,1.0,1,0,0,0,0,0,0
431635867,-0.051264018,0.059374377,-1.010765,0.0,0.8746848,-0.008049411,0.03836634,-0.48310414,0.43121397,1.0,1,0,0,0,0,0,0
431736193,-0.059695482,0.059706096,-1.010765,0.0,0.8746412,-0.011656409,0.040547557,-0.4829315,0.42899302,1.0,1,0,0,0,0,0,0
431835848,-0.061782267,0.0645792,-1.010765,0.0,0.8745988,-0.011388444,0.043180197,-0.48278648,0.42897186,1.0,1,0,0,0,0,0,0
431939910,-0.05548897,0.06434227,-1.010765,0.0,0.874632,-0.008693733,0.041557316,-0.4829246,0.43977472,1.0,1,0,0,0,0,0,0
432040539,-0.07091679,0.06922142,-1.010765,0.0,0.87450963,-0.014258014,0.047411945,-0.48247463,0.4440229,1.0,1,0,0,0,0,0,0
432139859,-0.0761054,0.07246497,-1.010765,0.0,0.8744493,-0.015740683,0.050079536,-0.4822683,0.43181607,1.0,1,0,0,0,0,0,0
432244006,-0.07532579,0.07511421,-1.010765,0.0,0.87443674,-0.014757794,0.051048078,-0.4822205,0.42693523,1.0,1,0,0,0,0,0,0
432344453,-0.09159029,0.08061198,-1.010765,0.0,0.87425524,-0.020535637,0.057366416,-0.48162773,0.41843778,1.0,1,0,0,0,0,0,0
432448746,-0.097771384,0.08463807,-1.010765,0.0,0.8741625,-0.022261307,0.06061045,-0.4813219,0.41367617,1.0,1,0,0,0,0,0,0
432553135,-0.108278945,0.09180707,-1.010765,0.0,0.8739892,-0.025114968,0.06626297,-0.48075086,0.41749126,1.0,1,0,0,0,0,0,0
432656202,-0.108410664,0.09137356,-1.010765,0.0,0.8739905,-0.025277672,0.066105716,-0.48076156,0.41225094,1.0,1,0,0,0,0,0,0
432755939,-0.106876284,0.084356934,-1.010765,0.0,0.87405366,-0.026308808,0.06267844,-0.4810504,0.42046168,1.0,1,0,0,0,0,0,0
432859935,-0.111266464,0.090154305,-1.010765,0.0,0.8739613,-0.02682135,0.06626082,-0.48070958,0.41918662,1.0,1,0,0,0,0,0,0
432960331,-0.11605072,0.088089325,-1.010765,0.0,0.87390584,-0.029412767,0.06651084,-0.4806244,0.42401266,1.0,1,0,0,0,0,0,0
433064650,-0.115677245,0.08632692,-1.010765,0.0,0.87392026,-0.029677033,0.06565314,-0.48069984,0.4269704,1.0,1,0,0,0,0,0,0
433168388,-0.10919541,0.0827544,-1.010765,0.0,0.87403065,-0.027710922,0.06253765,-0.48103184,0.42944252,1.0,1,0,0,0,0,0,0
433267985,-0.108138435,0.085429914,-1.010765,0.0,0.87403095,-0.026600197,0.06344974,-0.48097447,0.4326626,1.0,1,0,0,0,0,0,0
433372737,-0.10283353,0.08053571,-1.010765,0.0,0.8741263,-0.02546851,0.060039766,-0.48130006,0.43805572,1.0,1,0,0,0,0,0,0
433473296,-0.10090252,0.08108816,-1.010765,0.0,0.8741475,-0.02449058,0.05981595,-0.4813402,0.4373974,1.0,1,0,0,0,0,0,0
433573204,-0.106169745,0.08040831,-1.010765,0.0,0.8740832,-0.026957495,0.060786985,-0.48120338,0.43495172,1.0,1,0,0,0,0,0,0
433676158,-0.11346778,0.08315241,-1.010765,0.0,0.8739677,-0.02948143,0.06373855,-0.48088327,0.41796672,1.0,1,0,0,0,0,0,0
433776725,-0.10313534,0.08249895,-1.010765,0.0,0.874112,-0.025124392,0.060968447,-0.48122737,0.41413528,1.0,1,0,0,0,0,0,0
433880642,-0.10420561,0.08110347,-1.010765,0.0,0.8741058,-0.02593053,0.0606175,-0.48124027,0.40865493,1.0,1,0,0,0,0,0,0
433980023,-0.098582454,0.07934409,-1.010765,0.0,0.8741851,-0.023899369,0.058496896,-0.48146376,0.40349036,1.0,1,0,0,0,0,0,0
434080654,-0.10662706,0.08803669,-1.010765,0.0,0.87403506,-0.025307525,0.06422256,-0.48093417,0.39331153,1.0,1,0,0,0,0,0,0
434184342,-0.10178578,0.08454705,-1.010765,0.0,0.8741166,-0.024037939,0.061536748,-0.48120224,0.38865647,1.0,1,0,0,0,0,0,0
434288657,-0.10974052,0.10146821,-1.010765,0.0,0.8738949,-0.023410024,0.07082349,-0.48035792,0.38720685,1.0,1,0,0,0,0,0,0
434388152,-0.09802715,0.09331501,-1.010765,0.0,0.87409383,-0.02026898,0.064455226,-0.48103502,0.3874235,1.0,1,0,0,0,0,0,0
434492636,-0.10571576,0.10436072,-1.010765,0.0,0.87391216,-0.020949645,0.0711168,-0.48039678,0.38010055,1.0,1,0,0,0,0,0,0
434593133,-0.097335055,0.10563584,-1.010765,0.0,0.873978,-0.016978174,0.06965879,-0.4806473,0.37099522,1.0,1,0,0,0,0,0,0
434692359,-0.08385754,0.1027392,-1.010765,0.0,0.87410915,-0.011790692,0.06515537,-0.4811953,0.36762252,1.0,1,0,0,0,0,0,0
434795875,-0.08526506,0.111751355,-1.010765,0.0,0.87398237,-0.010220383,0.069422536,-0.48086476,0.3564802,1.0,1,0,0,0,0,0,0
434896423,-0.083913475,0.11824542,-1.010765,0.0,0.8738918,-0.008054855,0.07192769,-0.48070228,0.3448845,1.0,1,0,0,0,0,0,0
434997511,-0.081390955,0.116987914,-1.010765,0.0,0.87392116,-0.0072575877,0.07077333,-0.4808329,0.32850534,1.0,1,0,0,0,0,0,0
435101702,-0.09573928,0.12296961,-1.010765,0.0,0.8737591,-0.01207576,0.076826155,-0.48010105,0.32882375,1.0,1,0,0,0,0,0,0
435205264,-0.077215925,0.112938106,-1.010765,0.0,0.87399834,-0.006415172,0.06800408,-0.48110414,0.33141297,1.0,1,0,0,0,0,0,0
435304683,-0.068738565,0.10843668,-1.010765,0.0,0.8740892,-0.0038016255,0.06400112,-0.48151582,0.34436396,1.0,1,0,0,0,0,0,0
435408678,-0.0660859,0.09944301,-1.010765,0.0,0.8742259,-0.0048220167,0.05943893,-0.4818431,0.36092228,1.0,1,0,0,0,0,0,0
435509332,-0.06772758,0.09593063,-1.010765,0.0,0.8742679,-0.006390905,0.0583019,-0.4818877,0.37210512,1.0,1,0,0,0,0,0,0
435609481,-0.06510193,0.08938984,-1.010765,0.0,0.87435645,-0.006828248,0.054814626,-0.4821301,0.38612455,1.0,1,0,0,0,0,0,0
435712710,-0.07465215,0.08739213,-1.010765,0.0,0.8743345,-0.011487526,0.056244493,-0.48191684,0.38907772,1.0,1,0,0,0,0,0,0
435813801,-0.07158809,0.08338351,-1.010765,0.0,0.8743912,-0.01111955,0.05375657,-0.48210645,0.389257,1.0,1,0,0,0,0,0,0
435917296,-0.07610562,0.07894082,-1.010765,0.0,0.87440175,-0.014171346,0.05290641,-0.48210135,0.39054915,1.0,1,0,0,0,0,0,0
436021295,-0.0789956,0.08354039,-1.010765,0.0,0.8743426,-0.014319971,0.05561025,-0.48189983,0.3908016,1.0,1,0,0,0,0,0,0
436120618,-0.06719234,0.07945437,-1.010765,0.0,0.8744515,-0.0101498775,0.05098154,-0.48231986,0.4013295,1.0,1,0,0,0,0,0,0
436224766,-0.06682094,0.082561985,-1.010765,0.0,0.87442344,-0.009234426,0.05224865,-0.48225346,0.3979135,1.0,1,0,0,0,0,0,0
436325429,-0.073975064,0.08083547,-1.010765,0.0,0.8744002,-0.012780671,0.0532198,-0.48210847,0.4012231,1.0,1,0,0,0,0,0,0
436424649,-0.085646644,0.08899165,-1.010765,0.0,0.8742439,-0.015905973,0.059590574,-0.48155332,0.3972838,1.0,1,0,0,0,0,0,0
436529461,-0.08825231,0.0909126,-1.010765,0.0,0.8742051,-0.016579207,0.061055724,-0.48141742,0.3885053,1.0,1,0,0,0,0,0,0
436630047,-0.0916956,0.10340022,-1.010765,0.0,0.87404865,-0.015055939,0.06732881,-0.48091477,0.3831634,1.0,1,0,0,0,0,0,0
436729527,-0.09042143,0.09883929,-1.010765,0.0,0.87410897,-0.015605184,0.065034136,-0.48110348,0.38436854,1.0,1,0,0,0,0,0,0
436833440,-0.09112166,0.099355586,-1.010765,0.0,0.87409794,-0.01578601,0.06542766,-0.4810641,0.3822666,1.0,1,0,0,0,0,0,0
436936638,-0.09607814,0.1044185,-1.010765,0.0,0.8740023,-0.016724188,0.06882623,-0.48073193,0.3863504,1.0,1,0,0,0,0,0,0
437038044,-0.10003985,0.10628865,-1.010765,0.0,0.873947,-0.018001756,0.07059318,-0.48053,0.38022706,1.0,1,0,0,0,0,0,0
437141544,-0.08782227,0.10103366,-1.010765,0.0,0.87410396,-0.013937073,0.06536559,-0.48111892,0.3892258,1.0,1,0,0,0,0,0,0
437245318,-0.093150705,0.10550392,-1.010765,0.0,0.8740132,-0.01518162,0.06859555,-0.48079634,0.38769764,1.0,1,0,0,0,0,0,0
437345086,-0.09976848,0.10653902,-1.010765,0.0,0.87394667,-0.017822439,0.07063706,-0.48053092,0.39381027,1.0,1,0,0,0,0,0,0
437449420,-0.095287815,0.10961519,-1.010765,0.0,0.8739472,-0.015118277,0.07090074,-0.48058376,0.3935382,1.0,1,0,0,0,0,0,0
