timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
631460236,631460089,0.016812786,0.06881026,0.102460645,0.40959078,0.0,0.0,0.0,1.0
631560297,631560089,0.050873347,0.054224387,0.10367713,0.40223974,0.0,0.0,0.0,1.0
631660311,631660105,0.021340203,0.05218019,0.10182704,0.39757875,0.0,0.0,0.0,1.0
631761114,631760932,0.020287463,0.057122763,0.10857232,0.3934897,0.0,0.0,0.0,1.0
631865104,631864921,0.012381607,0.04968334,0.09891824,0.39718837,0.0,0.0,0.0,1.0
631965142,631964882,0.027461128,0.051077038,0.10070759,0.39065263,0.0,0.0,0.0,1.0
632069405,632068883,0.025431164,0.05965605,0.0933176,0.393233,0.0,0.0,0.0,1.0
632173135,632172882,0.019903466,0.037773207,0.100741066,0.40208197,0.0,0.0,0.0,1.0
632273167,632272914,0.029523978,0.046058103,0.10251138,0.40029073,0.0,0.0,0.0,1.0
632373183,632372883,0.0044828025,0.05611618,0.09795305,0.40219852,0.0,0.0,0.0,1.0
632477016,632476882,0.046437897,0.045825496,0.10039627,0.4100045,0.0,0.0,0.0,1.0
632577101,632576882,0.01141837,0.067734554,0.097954065,0.40197557,0.0,0.0,0.0,1.0
632681174,632680899,0.030462392,0.051361755,0.09700261,0.4023551,0.0,0.0,0.0,1.0
632781159,632780899,0.0121342875,0.07067304,0.09657304,0.40221655,0.0,0.0,0.0,1.0
632881150,632880899,0.024916517,0.059714843,0.10214265,0.39826638,0.0,0.0,0.0,1.0
632985118,632984882,0.025909524,0.057224397,0.09802035,0.39116618,0.0,0.0,0.0,1.0
633085151,633084907,0.030570287,0.061259415,0.0983153,0.39084196,0.0,0.0,0.0,1.0
633189153,633188882,0.028304968,0.055461984,0.09891098,0.38348523,0.0,0.0,0.0,1.0
633293015,633292882,0.024054077,0.06518946,0.09568838,0.3899628,0.0,0.0,0.0,1.0
633393146,633392882,0.020181363,0.05968532,0.09834322,0.39007607,0.0,0.0,0.0,1.0
633497117,633496882,0.020631272,0.06284795,0.09593254,0.3875767,0.0,0.0,0.0,1.0
633597155,633596885,0.013542583,0.064090595,0.09476548,0.3835191,0.0,0.0,0.0,1.0
633697168,633696883,0.032669973,0.047007464,0.10489096,0.38233438,0.0,0.0,0.0,1.0
633801131,633800922,0.011749607,0.039241612,0.08970044,0.37275034,0.0,0.0,0.0,1.0
633901154,633900948,0.0061546806,0.06142028,0.092729,0.3796349,0.0,0.0,0.0,1.0
634001193,634000899,0.02952703,0.04544122,0.09270664,0.37918416,0.0,0.0,0.0,1.0
634105140,634104882,0.027675938,0.05617176,0.08803616,0.3920348,0.0,0.0,0.0,1.0
634205920,634205682,0.02046964,0.058080576,0.092863515,0.39749804,0.0,0.0,0.0,1.0
634305820,634305683,0.030607212,0.057105236,0.09499983,0.39673656,0.0,0.0,0.0,1.0
634409938,634409682,-0.004952127,0.05989524,0.09712736,0.39301172,0.0,0.0,0.0,1.0
634513933,634513723,0.022195809,0.053877153,0.09477623,0.39800933,0.0,0.0,0.0,1.0
634613946,634613682,0.0015718248,0.050255224,0.09294199,0.39986485,0.0,0.0,0.0,1.0
634717893,634717682,0.007220845,0.061382856,0.09379824,0.405861,0.0,0.0,0.0,1.0
634817935,634817682,0.025006153,0.060902875,0.08943808,0.40694895,0.0,0.0,0.0,1.0
634921962,634921682,0.00049757306,0.05177431,0.09174358,0.4035574,0.0,0.0,0.0,1.0
635021897,635021690,0.024428297,0.04636524,0.09404296,0.4091021,0.0,0.0,0.0,1.0
635121813,635121682,0.030234762,0.043913525,0.09403614,0.40956715,0.0,0.0,0.0,1.0
635225932,635225682,0.023151202,0.050157245,0.08801187,0.42153937,0.0,0.0,0.0,1.0
635325816,635325682,0.0033956757,0.052814104,0.08063263,0.42103997,0.0,0.0,0.0,1.0
635425937,635425688,0.014255805,0.059633244,0.08266516,0.41851062,0.0,0.0,0.0,1.0
635529971,635529723,0.023890397,0.06399347,0.082487434,0.4209477,0.0,0.0,0.0,1.0
635629973,635629689,0.0149812745,0.05526746,0.08294331,0.41820124,0.0,0.0,0.0,1.0
635733820,635733682,0.021382175,0.047418483,0.09195324,0.41633493,0.0,0.0,0.0,1.0
635837953,635837682,0.010566764,0.0518958,0.09025059,0.4161802,0.0,0.0,0.0,1.0
635941929,635941682,0.023178412,0.051904846,0.0950395,0.41895783,0.0,0.0,0.0,1.0
636041818,636041682,0.017083555,0.046165206,0.09409505,0.41939133,0.0,0.0,0.0,1.0
636145903,636145682,0.025348548,0.05191094,0.095450535,0.42972678,0.0,0.0,0.0,1.0
636245811,636245682,0.01919428,0.06352973,0.0927344,0.42189252,0.0,0.0,0.0,1.0
636349991,636349682,0.018259924,0.04794217,0.10271753,0.41845292,0.0,0.0,0.0,1.0
636449958,636449694,0.03509258,0.046687506,0.09539771,0.4113626,0.0,0.0,0.0,1.0
636549989,636549683,-0.015046567,0.06497841,0.092961594,0.405187,0.0,0.0,0.0,1.0
636653883,636653703,-0.009067495,0.066270016,0.10516884,0.3995396,0.0,0.0,0.0,1.0
636758732,636758494,0.008846585,0.052635983,0.099600494,0.39880368,0.0,0.0,0.0,1.0
636858611,636858482,0.03717385,0.04660537,0.101620555,0.38427502,0.0,0.0,0.0,1.0
636958622,636958485,0.036587894,0.069585696,0.10142969,0.38707,0.0,0.0,0.0,1.0
637062735,637062483,0.03132842,0.08391607,0.09648963,0.37458947,0.0,0.0,0.0,1.0
637162787,637162482,0.015875332,0.07620568,0.09588646,0.36202902,0.0,0.0,0.0,1.0
637266732,637266482,0.008416517,0.03120822,0.10494174,0.36336038,0.0,0.0,0.0,1.0
637366734,637366522,0.033837844,0.03628049,0.10040965,0.37351575,0.0,0.0,0.0,1.0
637466746,637466489,0.02133466,0.048213657,0.096488066,0.37939844,0.0,0.0,0.0,1.0
637570749,637570484,0.022148885,0.04758791,0.09750425,0.38804138,0.0,0.0,0.0,1.0
637670868,637670506,-0.006873871,0.06568078,0.093218975,0.40070057,0.0,0.0,0.0,1.0
637770768,637770482,0.034563698,0.049597424,0.0921758,0.41234034,0.0,0.0,0.0,1.0
637874726,637874494,0.012788653,0.0671527,0.09194276,0.41746366,0.0,0.0,0.0,1.0
637974728,637974501,0.019032449,0.057021175,0.0896094,0.41824943,0.0,0.0,0.0,1.0
638078662,638078489,0.023145696,0.043969568,0.09159338,0.41365612,0.0,0.0,0.0,1.0
638182617,638182482,0.041482396,0.06924983,0.09509283,0.41700128,0.0,0.0,0.0,1.0
638282699,638282496,0.0024934465,0.06112785,0.08891049,0.40135717,0.0,0.0,0.0,1.0
638386737,638386482,0.012271433,0.07879672,0.09253166,0.3940524,0.0,0.0,0.0,1.0
638486738,638486496,0.03203942,0.06311746,0.09405077,0.3862651,0.0,0.0,0.0,1.0
638586745,638586482,-0.009667044,0.053254463,0.09084328,0.37971675,0.0,0.0,0.0,1.0
638690850,638690489,0.026483629,0.046737105,0.09407674,0.38014424,0.0,0.0,0.0,1.0
638790739,638790487,0.01331356,0.05624588,0.091322854,0.37885442,0.0,0.0,0.0,1.0
638890742,638890486,0.0061556743,0.058889143,0.087949745,0.37901813,0.0,0.0,0.0,1.0
638994869,638994488,0.015212221,0.046497006,0.08920616,0.38539457,0.0,0.0,0.0,1.0
639094756,639094482,0.011747078,0.057502,0.09496984,0.38281405,0.0,0.0,0.0,1.0
639195595,639195323,0.020744868,0.05575393,0.092132896,0.39826846,0.0,0.0,0.0,1.0
639299512,639299283,-0.009551069,0.06456623,0.08897408,0.39680317,0.0,0.0,0.0,1.0
639399574,639399322,0.029809477,0.055133957,0.09604245,0.3992467,0.0,0.0,0.0,1.0
639499532,639499282,0.019636309,0.071137734,0.09072574,0.3960488,0.0,0.0,0.0,1.0
639603418,639603282,0.025216531,0.06529138,0.08939775,0.39905855,0.0,0.0,0.0,1.0
639703410,639703282,0.007581318,0.0511587,0.09102285,0.38967043,0.0,0.0,0.0,1.0
639807623,639807282,0.043146033,0.049359694,0.09621031,0.38956556,0.0,0.0,0.0,1.0
