timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
413392201,27362316,37.2462541,126.66716430000001,51.58414,-196.04776,-11.344093,0.003000069,-0.0025736534,0.0,0.017554289,4.386566,-0.07074369,-0.0078547485,0.017319478,-0.010825403,0.11023111,-1.7547215,-0.1859139,2.5852768,-1.2124121,3.4813788,9.753802,0.07074369,0.3820581,0.2416887,0.16782324,0.10442424,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
413491829,27362316,37.2462541,126.66716430000001,51.58912,-195.61223,-11.331283,0.003000069,-0.0025736534,0.0,0.017232096,4.4079814,-0.07463846,-0.00011410023,0.017319478,-0.010825403,0.11023111,-1.673323,1.880288,-2.1485863,-1.2138274,3.4813788,9.740992,0.07463846,0.3704608,0.2398804,0.16336963,0.103659056,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
413596121,27362316,37.2462541,126.66716430000001,51.5935,-195.15602,-11.3261,0.003000069,-0.0025736534,0.0,0.016631303,4.422878,-0.063438565,0.014637148,0.017319478,-0.010825403,0.11023111,-4.342773,-1.455971,9.819564,-1.2155066,3.4813788,9.735809,0.063438565,0.38312653,0.24117902,0.16781773,0.10433465,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
413699818,27362316,37.2462541,126.66716430000001,51.600677,-194.70161,-11.323984,0.003000069,-0.0025736534,0.0,0.035386197,4.4453607,-0.10497349,-0.025616543,0.017319478,-0.010825403,0.11023111,5.6957073,0.75509655,-4.277236,-1.2175786,3.4813788,9.733693,0.10497349,0.37141734,0.24112144,0.16351058,0.104027,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
413799740,27362316,37.2462541,126.66716430000001,51.607086,-194.26208,-11.322326,0.003000069,-0.0025736534,0.0,0.018891469,4.45779,-0.10272171,-0.021035627,0.017319478,-0.010825403,0.11023111,-0.6558969,0.7552348,1.1586099,-1.2187661,3.4813788,9.732035,0.10272171,0.38310722,0.24179807,0.1677858,0.10449839,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
413899743,27362316,37.2462541,126.66716430000001,51.613464,-193.81926,-11.327956,0.003000069,-0.0025736534,0.0,0.002785928,4.463981,-0.11047699,-0.033333372,0.017319478,-0.010825403,0.11023111,-3.4040349,-2.4703736,6.9529676,-1.2194903,3.4813788,9.737665,0.11047699,0.37127134,0.24002273,0.16334663,0.10375043,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414003737,27362316,37.2462541,126.66716430000001,51.61755,-193.35608,-11.338922,0.003000069,-0.0025736534,0.0,0.008439785,4.4812746,-0.14613687,-0.076165475,0.017319478,-0.010825403,0.11023111,5.3514056,1.2947446,-5.105662,-1.2185694,3.4813788,9.748631,0.14613687,0.38393125,0.24135356,0.1680034,0.10442177,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414103857,27362316,37.2462541,126.66716430000001,51.62252,-192.91554,-11.350331,0.003000069,-0.0025736534,0.0,-0.004360897,4.485868,-0.1437727,-0.07965623,0.017319478,-0.010825403,0.11023111,1.8402797,-0.17247915,-3.6721215,-1.2170104,3.4813788,9.76004,0.1437727,0.37085038,0.24064834,0.16329387,0.10388685,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414207766,27362316,37.2462541,126.66716430000001,51.626434,-192.45747,-11.365536,0.003000069,-0.0025736534,0.0,-0.016991723,4.4880857,-0.13542956,-0.08061702,0.017319478,-0.010825403,0.11023111,2.1266403,0.7034634,-2.919249,-1.2142034,3.4813788,9.775245,0.13542956,0.38347623,0.2419552,0.16773972,0.10456549,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414307842,27362316,37.2462541,126.66716430000001,51.630077,-192.01918,-11.383475,0.003000069,-0.0025736534,0.0,-0.02881127,4.4919176,-0.12525782,-0.08247751,0.017319478,-0.010825403,0.11023111,4.8649373,2.142365,-2.761519,-1.2098702,3.4813788,9.793184,0.12525782,0.3710263,0.24012616,0.16322199,0.103771865,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414411972,27362316,37.2462541,126.66716430000001,51.631416,-191.56248,-11.404532,0.003000069,-0.0025736534,0.0,-0.060633358,4.4867525,-0.10509608,-0.0773479,0.017319478,-0.010825403,0.11023111,-1.9390225,-0.082276836,-6.104907,-1.2044222,3.4813788,9.814241,0.10509608,0.38363713,0.24142678,0.16777442,0.10443262,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414516205,27362316,37.2462541,126.66716430000001,51.630863,-191.10643,-11.427033,0.003000069,-0.0025736534,0.0,-0.07127207,4.49506,-0.06949194,-0.05854426,0.017319478,-0.010825403,0.11023111,-0.43640992,2.7241337,2.7570596,-1.199017,3.4813788,9.836742,0.06949194,0.37130672,0.24135387,0.16314991,0.104120694,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414615770,27362316,37.2462541,126.66716430000001,51.62691,-190.6651,-11.44595,0.003000069,-0.0025736534,0.0,-0.09664977,4.4915495,-0.050679315,-0.053380765,0.017319478,-0.010825403,0.11023111,-2.2003195,0.09931786,0.38086852,-1.1943731,3.4813788,9.855659,0.050679315,0.3829297,0.24029146,0.16730484,0.10414684,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414719793,27362316,37.2462541,126.66716430000001,51.616554,-190.20645,-11.463457,0.003000069,-0.0025736534,0.0,-0.118614785,4.487853,-0.014559988,-0.029962976,0.017319478,-0.010825403,0.11023111,-2.001371,-2.3974566,6.5311747,-1.1906465,3.4813788,9.873166,0.014559988,0.37056813,0.2402718,0.16282035,0.10384069,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414819728,27362316,37.2462541,126.66716430000001,51.603455,-189.76334,-11.479024,0.003000069,-0.0025736534,0.0,-0.12942775,4.502644,-0.012563759,-0.04013465,0.017319478,-0.010825403,0.11023111,5.2604575,0.7350082,-7.448372,-1.1878966,3.4813788,9.888733,0.012563759,0.3831299,0.2416085,0.16723232,0.104515046,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
414919810,27362316,37.2462541,126.66716430000001,51.58856,-189.31541,-11.490864,0.003000069,-0.0025736534,0.0,-0.16394183,4.5109982,0.046461456,0.009166811,0.017319478,-0.010825403,0.11023111,-4.7033606,-1.2483506,9.800643,-1.1858778,3.4813788,9.900573,-0.046461456,0.3697771,0.24090499,0.16244976,0.1040118,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415019826,27362316,37.2462541,126.66716430000001,51.572506,-188.86572,-11.495908,0.003000069,-0.0025736534,0.0,-0.16586438,4.5211873,0.045640327,0.0043611117,0.017319478,-0.010825403,0.11023111,-0.9558692,0.832222,-3.416133,-1.1847994,3.4813788,9.905617,-0.045640327,0.38228166,0.24219638,0.16688357,0.104658715,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415123827,27362316,37.2462541,126.66716430000001,51.550827,-188.39473,-11.500585,0.003000069,-0.0025736534,0.0,-0.17513447,4.5242143,0.07244826,0.025617696,0.017319478,-0.010825403,0.11023111,0.35807306,-0.71179533,2.8995883,-1.1831154,3.4813788,9.910294,-0.07244826,0.37005585,0.2403642,0.16260482,0.10387843,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415223908,27362316,37.2462541,126.66716430000001,51.530163,-187.94093,-11.505028,0.003000069,-0.0025736534,0.0,-0.18710086,4.537381,0.05381174,0.001439482,0.017319478,-0.010825403,0.11023111,-0.9713112,-0.49269876,-3.9835393,-1.1822016,3.4813788,9.914737,-0.05381174,0.3816002,0.24103731,0.1667976,0.10436893,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415328170,27362316,37.2462541,126.66716430000001,51.508965,-187.47084,-11.509763,0.003000069,-0.0025736534,0.0,-0.17948122,4.5509596,0.042530593,-0.014369221,0.017319478,-0.010825403,0.11023111,2.9639158,0.8809434,-9.398097,-1.1826476,3.4813788,9.919472,-0.042530593,0.3693557,0.24100411,0.1625822,0.10405324,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415427865,27362316,37.2462541,126.66716430000001,51.48884,-187.01747,-11.517431,0.003000069,-0.0025736534,0.0,-0.20029998,4.5492206,0.05952567,-0.003498328,0.017319478,-0.010825403,0.11023111,-6.3055067,-0.3748992,1.5870396,-1.1824758,3.4813788,9.92714,-0.05952567,0.38189644,0.24059953,0.16721928,0.10426825,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415532212,27362316,37.2462541,126.66716430000001,51.467716,-186.54784,-11.521604,0.003000069,-0.0025736534,0.0,-0.17371044,4.560922,0.021745158,-0.042446367,0.017319478,-0.010825403,0.11023111,0.22805785,0.71351504,-7.264519,-1.1844088,3.4813788,9.931313,-0.021745158,0.36953834,0.24059816,0.16300492,0.10396423,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415635877,27362316,37.2462541,126.66716430000001,51.44846,-186.07634,-11.5240755,0.003000069,-0.0025736534,0.0,-0.15682271,4.562163,0.021486536,-0.040359356,0.017319478,-0.010825403,0.11023111,1.1404089,0.26460162,-3.018394,-1.186554,3.4813788,9.9337845,-0.021486536,0.3576655,0.2405722,0.15881626,0.10363433,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415739813,27362316,37.2462541,126.66716430000001,51.428894,-185.59981,-11.531243,0.003000069,-0.0025736534,0.0,-0.14470522,4.5664477,0.02718058,-0.035878584,0.017319478,-0.010825403,0.11023111,-5.9449377,-1.1276033,9.244364,-1.1890417,3.4813788,9.940952,-0.02718058,0.3697131,0.24188471,0.16355722,0.10427888,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415839896,27362316,37.2462541,126.66716430000001,51.413216,-185.14093,-11.535079,0.003000069,-0.0025736534,0.0,-0.12643929,4.5751905,0.019906702,-0.04145594,0.017319478,-0.010825403,0.11023111,-4.3405824,0.23701473,-0.19128422,-1.1906761,3.4813788,9.944788,-0.019906702,0.35684094,0.2411225,0.15908366,0.1037193,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
415939759,27362316,37.2462541,126.66716430000001,51.398544,-184.68405,-11.532875,0.003000069,-0.0025736534,0.0,-0.085503,4.588719,0.028977152,-0.025897192,0.017319478,-0.010825403,0.11023111,3.0857646,1.7118185,-1.0402972,-1.1916672,3.4813788,9.942584,-0.028977152,0.36888912,0.24064934,0.16380289,0.10391684,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
416039906,27362316,37.2462541,126.66716430000001,51.38689,-184.22583,-11.527149,0.003000069,-0.0025736534,0.0,-0.060265552,4.591449,0.030544637,-0.016197953,0.017319478,-0.010825403,0.11023111,4.969998,0.22415301,-4.889226,-1.1925592,3.4813788,9.936858,-0.030544637,0.3559741,0.23991956,0.15917528,0.10336143,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
416144186,27362316,37.2462541,126.66716430000001,51.373875,-183.74954,-11.517529,0.003000069,-0.0025736534,0.0,-0.042237036,4.6084194,0.047016907,0.010410891,0.017319478,-0.010825403,0.11023111,5.366586,2.5511608,-2.6665802,-1.1938922,3.4813788,9.9272375,-0.047016907,0.36801538,0.24120033,0.1637024,0.10402034,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
416244760,27362316,37.2462541,126.66716430000001,51.364338,-183.28647,-11.508299,0.003000069,-0.0025736534,0.0,-0.042003226,4.609306,0.05365387,0.025011472,0.017319478,-0.010825403,0.11023111,-1.0866259,-1.5518836,2.0174944,-1.1940268,3.4813788,9.918008,-0.05365387,0.3559496,0.23939696,0.15945216,0.10322873,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
416344612,27362316,37.2462541,126.66716430000001,51.35639,-182.82812,-11.501761,0.003000069,-0.0025736534,0.0,-0.04230272,4.6227536,0.060133852,0.03596467,0.017319478,-0.010825403,0.11023111,-9.052701,-0.77822965,2.0592186,-1.1939353,3.4813788,9.91147,-0.060133852,0.36803198,0.24069808,0.16416378,0.10386897,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
