timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
582238251,0.25048918,0.02962126,-0.038241323,0.81663644,-0.0490695,0.020241164,-0.57470644,0.90585804,0.00472709,0.011689381,-0.423394,1
582270416,0.17065907,0.0039795768,-0.08132106,0.81643164,-0.0493436,0.020510152,-0.57496434,0.90585804,0.00472709,0.011689381,-0.423394,1
582302286,-0.19483033,-0.11316301,0.024882764,0.8162631,-0.050000016,0.021044431,-0.5751275,0.90585804,0.00472709,0.011689381,-0.423394,1
582334155,-0.18009388,-0.12479759,-0.07962153,0.815986,-0.050773866,0.021228375,-0.57544625,0.90585804,0.00472709,0.011689381,-0.423394,1
582366303,-0.21114112,0.0073929206,0.006167782,0.81586576,-0.051740848,0.021125974,-0.57553416,0.90585804,0.00472709,0.011689381,-0.423394,1
582398260,-0.060112696,-0.13476975,0.11631343,0.8157791,-0.052725766,0.021069609,-0.57556987,0.90585804,0.00472709,0.011689381,-0.423394,1
582430544,0.3432464,-0.11414678,-0.06514037,0.81544757,-0.053099588,0.02110777,-0.57600373,0.90585804,0.00472709,0.011689381,-0.423394,1
582462188,0.078655995,-0.020636994,-0.03155258,0.815284,-0.053356543,0.021263935,-0.57620555,0.90585804,0.00472709,0.011689381,-0.423394,1
582494356,-0.2603018,0.089239486,-0.013279967,0.8151048,-0.05371425,0.021928228,-0.57640105,0.90585804,0.00472709,0.011689381,-0.423394,1
582526233,-0.1324509,-0.015423017,0.031787045,0.815008,-0.053434014,0.021942109,-0.5765635,0.90585804,0.00472709,0.011689381,-0.423394,1
582558351,-0.19421901,0.13630123,0.118094556,0.8148651,-0.053363584,0.022361226,-0.5767557,0.90585804,0.00472709,0.011689381,-0.423394,1
582590588,0.23827279,0.0012800044,0.05418186,0.81472373,-0.05332804,0.022264583,-0.5769626,0.90585804,0.00472709,0.011689381,-0.423394,1
582622158,0.31471464,-0.24580933,-0.12326603,0.81448865,-0.05323681,0.022059415,-0.57731074,0.90585804,0.00472709,0.011689381,-0.423394,1
582654233,-0.05821807,-0.09520566,-0.039824903,0.81437504,-0.0533126,0.022494914,-0.577447,0.90585804,0.00472709,0.011689381,-0.423394,1
582686252,-0.13448073,0.06270881,-0.08614245,0.8142533,-0.053406492,0.022752836,-0.57760006,0.90585804,0.00472709,0.011689381,-0.423394,1
582718245,-0.30749783,0.09490919,0.10827998,0.81430113,-0.053325165,0.022695698,-0.5775424,0.90585804,0.00472709,0.011689381,-0.423394,1
582750411,-0.21266548,0.15700606,0.13338026,0.8142408,-0.05322867,0.022273026,-0.5776526,0.90585804,0.00472709,0.011689381,-0.423394,1
582782242,0.25162092,-0.008828925,-0.009215286,0.81412244,-0.053421676,0.021099187,-0.5778459,0.90585804,0.00472709,0.011689381,-0.423394,1
582814184,0.058557034,-0.123673044,-0.07947812,0.81401527,-0.054139704,0.020455383,-0.57795286,0.90585804,0.00472709,0.011689381,-0.423394,1
582846188,-0.06193664,-0.24861173,0.027089734,0.81402636,-0.05474843,0.019867657,-0.57790047,0.90585804,0.00472709,0.011689381,-0.423394,1
582878212,-0.11864196,-0.025202533,-0.0021960903,0.8140081,-0.054343846,0.01910143,-0.5779903,0.90585804,0.00472709,0.011689381,-0.423394,1
582910413,-0.019774593,0.23985717,0.017746763,0.8139903,-0.05374384,0.018674456,-0.5780855,0.90585804,0.00472709,0.011689381,-0.423394,1
582942270,0.23483942,-0.05432607,0.021492217,0.81408924,-0.05326311,0.018012302,-0.5780115,0.90585804,0.00472709,0.011689381,-0.423394,1
582974541,-0.0022002193,-0.061801683,-0.12530902,0.8139471,-0.05300428,0.018268775,-0.5782275,0.90585804,0.00472709,0.011689381,-0.423394,1
583006189,-0.2186493,0.121777266,0.005417502,0.81403136,-0.05272721,0.018962203,-0.5781117,0.90585804,0.00472709,0.011689381,-0.423394,1
583038330,-0.14827058,0.014747227,0.116205625,0.81408,-0.052351456,0.019062592,-0.5780741,0.90585804,0.00472709,0.011689381,-0.423394,1
583070553,-0.01366127,-0.06009421,0.03213237,0.81404525,-0.052049324,0.019043734,-0.578151,0.90585804,0.00472709,0.011689381,-0.423394,1
583102132,0.25243375,-0.013089932,0.033555947,0.8141063,-0.051595993,0.018809773,-0.57811326,0.90585804,0.00472709,0.011689381,-0.423394,1
583134259,0.20330583,-0.08932188,-0.09253046,0.81414616,-0.051304873,0.018138962,-0.5781045,0.90585804,0.00472709,0.011689381,-0.423394,1
