timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
342899983,-145.42798,35.88,103084.0,1.2248085
342923825,-146.16783,35.89,103092.99,1.2249153
342935025,-145.84018,35.89,103089.0,1.2248678
342945447,-145.26416,35.89,103081.99,1.2247846
342966933,-145.91945,35.899998,103090.0,1.2248797
342977436,-146.16783,35.899998,103092.99,1.2249153
342987532,-145.84018,35.899998,103089.0,1.2248678
343009447,-145.75563,35.89,103088.0,1.224856
343021023,-145.75563,35.89,103088.0,1.224856
343031011,-145.34343,35.89,103082.99,1.2247964
343055001,-145.67636,35.89,103087.0,1.2248441
343067380,-146.00401,35.89,103091.0,1.2248917
343076585,-145.42798,35.89,103084.0,1.2248085
343097460,-145.51254,35.89,103085.0,1.2248204
343107861,-144.85196,35.89,103077.0,1.2247252
343118991,-144.85196,35.89,103077.0,1.2247252
343139311,-144.77269,35.89,103076.0,1.2247134
343149171,-144.85196,35.89,103077.0,1.2247252
343159627,-144.60886,35.89,103074.0,1.2246896
343182945,-144.68814,35.899998,103075.0,1.2247015
343193445,-145.01578,35.899998,103078.99,1.224749
343203558,-144.68814,35.899998,103075.0,1.2247015
343224439,-145.10034,35.899998,103079.99,1.2247608
343235930,-144.77269,35.899998,103076.0,1.2247134
343247191,-144.77269,35.899998,103076.0,1.2247134
343267879,-144.77269,35.899998,103076.0,1.2247134
343277441,-144.77269,35.899998,103076.0,1.2247134
343288442,-144.85196,35.899998,103077.0,1.2247252
343311086,-144.5243,35.91,103073.0,1.2246778
343321436,-144.85196,35.91,103077.0,1.2247252
343331921,-144.5243,35.91,103073.0,1.2246778
343355769,-144.68814,35.91,103075.0,1.2247015
343366977,-144.44504,35.91,103072.0,1.2246659
343380381,-144.85196,35.91,103077.0,1.2247252
343403694,-144.60886,35.899998,103074.0,1.2246896
343415002,-144.5243,35.899998,103073.0,1.2246778
343427386,-144.1121,35.899998,103067.99,1.2246182
343447521,-144.68814,35.899998,103075.0,1.2247015
343460123,-144.03284,35.899998,103066.99,1.2246064
343471822,-144.03284,35.899998,103066.99,1.2246064
343494969,-144.28122,35.899998,103069.99,1.224642
343504441,-144.60886,35.899998,103074.0,1.2246896
343515641,-144.03284,35.899998,103066.99,1.2246064
343536448,-144.1121,35.91,103067.99,1.2246182
343547389,-144.36049,35.91,103071.0,1.224654
343557448,-144.03284,35.91,103066.99,1.2246064
343580703,-144.03284,35.91,103066.99,1.2246064
343591631,-144.28122,35.91,103069.99,1.224642
343603826,-144.28122,35.91,103069.99,1.224642
343627872,-144.19666,35.91,103068.99,1.2246301
343639394,-144.44504,35.91,103072.0,1.2246659
343649491,-144.03284,35.91,103066.99,1.2246064
343671520,-144.03284,35.91,103066.99,1.2246064
343683631,-143.70518,35.91,103063.0,1.224559
